"","Viral Symptomatic","Bacteria","MeanDecreaseAccuracy","MeanDecreaseGini"
"f156",-1.00503781525921,0,-1.00503781525921,0.0366433566433566
"f170",-1.00503781525921,-1.00503781525921,-1.00503781525921,0.0360000000000004
"f293",0,0,0,0.0353333333333335
"f221",-1.00503781525921,0,-1.00503781525921,0.0350000000000001
"f261",-1.00503781525921,0,-1.00503781525921,0.0346666666666667
"f187",0,0,0,0.0342857142857145
"f196",0,0,0,0.0342857142857143
"f64",0,0,0,0.0338461538461539
"f280",0,0,0,0.03375
"f172",0,0,0,0.0334615384615385
"f78",-1.00503781525921,0,-1.00503781525921,0.0333333333333335
"f65",0,0,0,0.0333333333333334
"f23",0,1.00503781525921,1.00503781525921,0.0333333333333333
"f29",-1.00503781525921,0,-1.00503781525921,0.0333333333333333
"f312",0,0,0,0.0333333333333333
"f85",0,0,0,0.0327272727272727
"f215",0,0,0,0.0327272727272727
"f45",0,0,0,0.032
"f98",-1.00503781525921,0,-1.00503781525921,0.0301785714285714
"f216",1.00503781525921,1.00503781525921,1.00503781525921,0.03
"f38",0,0,0,0.0295384615384615
"f218",0,0,0,0.0188888888888896
"f296",0,0,0,0.0188888888888894
"f104",0,0,0,0.0188235294117647
"f122",0,0,0,0.0187500000000001
"f166",-1.00503781525921,0,-1.00503781525921,0.0186666666666669
"f77",1.00503781525921,0,1.00503781525921,0.0186666666666668
"f277",0,0,0,0.0185714285714287
"f251",0,0,0,0.0185714285714286
"f302",0,0,0,0.0185714285714286
"f264",0,0,0,0.0183333333333336
"f87",-1.00503781525921,0,-1.00503781525921,0.0183333333333335
"f223",1.00503781525921,1.00503781525921,1.00503781525921,0.0183333333333334
"f44",0,0,0,0.0181818181818185
"f16",0,0,0,0.0181818181818182
"f96",0,-1.00503781525921,-1.00503781525921,0.0181818181818182
"f311",0,0,0,0.0181818181818182
"f117",0,1.00503781525921,1.00503781525921,0.018
"f183",0,0,0,0.018
"f207",-1.00503781525921,-1.00503781525921,-1.00503781525921,0.018
"f26",0,0,0,0.0177777777777778
"f94",0,0,0,0.0177777777777778
"f158",0,-1.00503781525921,-1.00503781525921,0.0177777777777778
"f314",0,0,0,0.0177777777777778
"f70",0,0,0,0.0175
"f125",0,0,0,0.0175
"f267",0,0,0,0.0175
"f268",0,0,0,0.0175
"f57",0,0,0,0.0163333333333333
"f101",0,-1.00503781525921,-1.00503781525921,0.016
"f33",0,0,0,0.015
"f262",0,0,0,0.0133333333333333
"f73",0,0,0,0.0133333333333333
"f62",0,0,0,0.01
"f210",0,0,0,0.00866666666666667
"f333",0,0,0,0.00512820512820527
"f1",0,0,0,0
"f2",0,0,0,0
"f3",0,0,0,0
"f4",0,0,0,0
"f5",0,0,0,0
"f6",0,0,0,0
"f8",0,0,0,0
"f10",0,0,0,0
"f12",0,0,0,0
"f13",0,0,0,0
"f14",0,0,0,0
"f15",0,0,0,0
"f18",0,0,0,0
"f20",0,0,0,0
"f21",0,0,0,0
"f24",0,0,0,0
"f25",0,0,0,0
"f27",0,0,0,0
"f28",0,0,0,0
"f31",0,0,0,0
"f32",0,0,0,0
"f34",0,0,0,0
"f36",0,0,0,0
"f37",0,0,0,0
"f41",0,0,0,0
"f42",0,0,0,0
"f43",0,0,0,0
"f48",0,0,0,0
"f49",0,0,0,0
"f51",0,0,0,0
"f54",0,0,0,0
"f55",0,0,0,0
"f56",0,0,0,0
"f58",0,0,0,0
"f59",0,0,0,0
"f60",0,0,0,0
"f61",0,0,0,0
"f63",0,0,0,0
"f66",0,0,0,0
"f68",0,0,0,0
"f69",0,0,0,0
"f71",0,0,0,0
"f72",0,0,0,0
"f74",0,0,0,0
"f75",0,0,0,0
"f76",0,0,0,0
"f80",0,0,0,0
"f81",0,0,0,0
"f84",0,0,0,0
"f88",0,0,0,0
"f89",0,0,0,0
"f90",0,0,0,0
"f92",0,0,0,0
"f93",0,0,0,0
"f95",0,0,0,0
"f97",0,0,0,0
"f99",0,0,0,0
"f100",0,0,0,0
"f102",0,0,0,0
"f103",0,0,0,0
"f105",0,0,0,0
"f106",0,0,0,0
"f109",0,0,0,0
"f110",0,0,0,0
"f112",0,0,0,0
"f113",0,0,0,0
"f114",0,0,0,0
"f115",0,0,0,0
"f116",0,0,0,0
"f118",0,0,0,0
"f119",0,0,0,0
"f120",0,0,0,0
"f121",0,0,0,0
"f123",0,0,0,0
"f126",0,0,0,0
"f127",0,0,0,0
"f128",0,0,0,0
"f129",0,0,0,0
"f130",0,0,0,0
"f132",0,0,0,0
"f134",0,0,0,0
"f136",0,0,0,0
"f137",0,0,0,0
"f139",0,0,0,0
"f140",0,0,0,0
"f142",0,0,0,0
"f143",0,0,0,0
"f144",0,0,0,0
"f145",0,0,0,0
"f146",0,0,0,0
"f147",0,0,0,0
"f148",0,0,0,0
"f149",0,0,0,0
"f150",0,0,0,0
"f151",0,0,0,0
"f152",0,0,0,0
"f153",0,0,0,0
"f155",0,0,0,0
"f157",0,0,0,0
"f159",0,0,0,0
"f160",0,0,0,0
"f161",0,0,0,0
"f162",0,0,0,0
"f164",0,0,0,0
"f167",0,0,0,0
"f168",0,0,0,0
"f169",0,0,0,0
"f171",0,0,0,0
"f173",0,0,0,0
"f174",0,0,0,0
"f175",0,0,0,0
"f176",0,0,0,0
"f177",0,0,0,0
"f178",0,0,0,0
"f179",0,0,0,0
"f181",0,0,0,0
"f182",0,0,0,0
"f184",0,0,0,0
"f185",0,0,0,0
"f188",0,0,0,0
"f189",0,0,0,0
"f190",0,0,0,0
"f192",0,0,0,0
"f197",0,0,0,0
"f198",0,0,0,0
"f202",0,0,0,0
"f204",0,0,0,0
"f205",0,0,0,0
"f206",0,0,0,0
"f208",0,0,0,0
"f212",0,0,0,0
"f213",0,0,0,0
"f214",0,0,0,0
"f217",0,0,0,0
"f219",0,0,0,0
"f220",0,0,0,0
"f222",0,0,0,0
"f224",0,0,0,0
"f225",0,0,0,0
"f227",0,0,0,0
"f228",0,0,0,0
"f229",0,0,0,0
"f231",0,0,0,0
"f232",0,0,0,0
"f233",0,0,0,0
"f234",0,0,0,0
"f235",0,0,0,0
"f236",0,0,0,0
"f237",0,0,0,0
"f238",0,0,0,0
"f239",0,0,0,0
"f240",0,0,0,0
"f241",0,0,0,0
"f242",0,0,0,0
"f243",0,0,0,0
"f244",0,0,0,0
"f245",0,0,0,0
"f246",0,0,0,0
"f247",0,0,0,0
"f248",0,0,0,0
"f249",0,0,0,0
"f252",0,0,0,0
"f253",0,0,0,0
"f254",0,0,0,0
"f255",0,0,0,0
"f256",0,0,0,0
"f257",0,0,0,0
"f259",0,0,0,0
"f260",0,0,0,0
"f265",0,0,0,0
"f266",0,0,0,0
"f269",0,0,0,0
"f270",0,0,0,0
"f272",0,0,0,0
"f273",0,0,0,0
"f274",0,0,0,0
"f276",0,0,0,0
"f278",0,0,0,0
"f279",0,0,0,0
"f281",0,0,0,0
"f282",0,0,0,0
"f283",0,0,0,0
"f284",0,0,0,0
"f287",0,0,0,0
"f289",0,0,0,0
"f290",0,0,0,0
"f291",0,0,0,0
"f292",0,0,0,0
"f294",0,0,0,0
"f295",0,0,0,0
"f297",0,0,0,0
"f298",0,0,0,0
"f299",0,0,0,0
"f301",0,0,0,0
"f303",0,0,0,0
"f304",0,0,0,0
"f306",0,0,0,0
"f308",0,0,0,0
"f309",0,0,0,0
"f310",0,0,0,0
"f313",0,0,0,0
"f317",0,0,0,0
"f320",0,0,0,0
"f321",0,0,0,0
"f322",0,0,0,0
"f323",0,0,0,0
"f324",0,0,0,0
"f325",0,0,0,0
"f327",0,0,0,0
"f328",0,0,0,0
"f331",0,0,0,0
